inventory_id,store_unit,item_number,active_flag,id,item_number_str,item_desc
40220899,13583,38312,0,40220899,38312,KME36GASCT 
40257977,14207,63633,0,40257977,63633,36IN RANGE  HOOD
40488395,13606,49983,0,40488395,49983,FDG  GSLIDE
40488397,13606,49983,0,40488397,49983,FDG  GSLIDE
40845249,13611,17725,0,40845249,17725,OTL SP DSW GE DISHWASHER
40845957,18756,54402,0,40845957,54402,EWFLS70JIW 
40888609,13595,80053,0,40888609,80053,KME 24CF B M CD GNG
40897933,13068,63065,0,40897933,63065,BLOWER 900 CFM K A  SS
40955349,13595,102882,0,40955349,102882,96882 7 5  SAM CF FL DRYE
40955415,13595,88063,0,40955415,88063,SAMS 23CF SAM 2DR CD
40955683,13619,26419,0,40955683,26419,36 GAS CT 
40958917,18670,82927,0,40958917,82927,OTL FS RNG
40965995,13068,12642,0,40965995,12642,DHICH 
41017407,13989,57992,0,41017407,57992,51992 KME  KENMORE PEDES
41104145,18670,41289,0,41104145,41289,RANGE S I GAS
41114537,13595,97583,0,41114537,97583,91583 KM  FL GAS DRYER ME
41150457,13619,26419,0,41150457,26419,36 GAS CT 
41150459,13619,27869,0,41150459,27869,COOKTOP 36  GAS
41150461,13619,27869,0,41150461,27869,COOKTOP 36  GAS
41226227,18670,82927,0,41226227,82927,OTL FS RNG
41277003,13595,90143,0,41277003,90143,SAM 28 1 C SAM F 4D FLEXF
41287099,14292,49983,0,41287099,49983,FDG  GSLIDE
41287451,16322,54402,0,41287451,54402,EWFLS70JIW 
41307237,13619,98130,0,41307237,98130,ELX 23 CF  CD SS
41368209,13595,80863,0,41368209,80863,GTD86GSPJM C GE  GE GAS
41502485,13595,23517,0,41502485,23517,SAMSUNG DI SAM SHWASHER
41586339,13068,63643,0,41586339,63643,36IN RANGE  HOOD
41663155,13015,17725,0,41663155,17725,OTL SP DSW GE DISHWASHER
41663181,13015,20715,0,41663181,20715,KENMORE EL KME ITE DISH P
41663189,13015,20792,0,41663189,20792,KME DISH B KME I WHITES
41663219,13015,23603,0,41663219,23603,DISHWASHER SAM STAINLESS
41663305,13015,62603,0,41663305,62603,KA  HOOD WM
41666373,13032,67553,0,41666373,67553,61553 KME  KENMORE ELITE
41667033,13038,16483,0,41667033,16483,DW THIRD R GE  BOTTLE WAS
41667061,13038,20833,0,41667061,20833,KME DISH B KME I STAINLES
41667063,13038,20833,0,41667063,20833,KME DISH B KME I STAINLES
41667297,13038,85472,0,41667297,85472,79472 KME
41668381,13058,63770,0,41668381,63770,RANGE HOOD 450 CFM
41668683,13058,54402,0,41668683,54402,EWFLS70JIW 
